,NH3_N(t-23),NH3_N(t-22),NH3_N(t-21),NH3_N(t-20),NH3_N(t-19),NH3_N(t-18),NH3_N(t-17),NH3_N(t-16),NH3_N(t-15),NH3_N(t-14),NH3_N(t-13),NH3_N(t-12),NH3_N(t-11),NH3_N(t-10),NH3_N(t-9),NH3_N(t-8),NH3_N(t-7),NH3_N(t-6),NH3_N(t-5),NH3_N(t-4),NH3_N(t-3),NH3_N(t-2),NH3_N(t-1),NH3_N(t),NH3_N(t+1),NH3_N(t+2),NH3_N(t+3)
10,0.9777108277777786,0.7299932230158735,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224
11,0.7299932230158735,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651
12,0.3211815277777779,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812
13,0.2118402380952382,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652
14,0.2261689261904763,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762
15,0.2519997785714287,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096
16,0.2782291134920636,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699
17,0.302823988888889,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429
18,0.3119423690476192,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985
19,0.2950460547619049,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636
20,0.2695289174603176,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683
21,0.2417907761904763,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143
22,0.2236571325396826,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112
23,0.2156997984126985,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382
24,0.2095839325396826,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985
25,0.2162237269841271,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667
26,0.2399693777777779,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635
27,0.2562064412698414,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461
28,0.2618897865079366,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524
29,0.2547863000000001,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874
30,0.2343658698412699,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508
31,0.2237018126984128,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699
32,0.2291745142857144,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556
33,0.2310153190476191,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731
34,0.2304960230158731,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239
35,0.2436574753968255,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175
36,0.2747690722222224,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033
37,0.292882100793651,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287
38,0.2939655309523812,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303
39,0.2765748150793652,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112
40,0.2451513761904762,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382
41,0.2247984595238096,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937
42,0.2247237698412699,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381
43,0.2215493428571429,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381,0.2069630841269842
44,0.2197974984126985,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381,0.2069630841269842,0.2047471325396826
45,0.2186523134920636,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381,0.2069630841269842,0.2047471325396826,0.1962466341269841
46,0.2178937182539683,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381,0.2069630841269842,0.2047471325396826,0.1962466341269841,0.3732510515873019
47,0.2171842142857143,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381,0.2069630841269842,0.2047471325396826,0.1962466341269841,0.3732510515873019,0.5873235198412703
48,0.2165229611111112,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381,0.2069630841269842,0.2047471325396826,0.1962466341269841,0.3732510515873019,0.5873235198412703,0.6828633753968258
49,0.2159430380952382,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381,0.2069630841269842,0.2047471325396826,0.1962466341269841,0.3732510515873019,0.5873235198412703,0.6828633753968258,0.645660528571429
50,0.2167983484126985,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381,0.2069630841269842,0.2047471325396826,0.1962466341269841,0.3732510515873019,0.5873235198412703,0.6828633753968258,0.645660528571429,0.4802386285714289
51,0.2178931166666667,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381,0.2069630841269842,0.2047471325396826,0.1962466341269841,0.3732510515873019,0.5873235198412703,0.6828633753968258,0.645660528571429,0.4802386285714289,0.2536858896825398
52,0.219410934920635,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381,0.2069630841269842,0.2047471325396826,0.1962466341269841,0.3732510515873019,0.5873235198412703,0.6828633753968258,0.645660528571429,0.4802386285714289,0.2536858896825398,0.2065888468253969
53,0.2210312960317461,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381,0.2069630841269842,0.2047471325396826,0.1962466341269841,0.3732510515873019,0.5873235198412703,0.6828633753968258,0.645660528571429,0.4802386285714289,0.2536858896825398,0.2065888468253969,0.2214455039682541
54,0.222279173809524,0.2236225873015874,0.225747057936508,0.2272816698412699,0.2282530055555556,0.2292981230158731,0.2320003238095239,0.2406858674603175,0.2477907031746033,0.2466917785714287,0.2380477301587303,0.2250292611111112,0.2136072880952382,0.2102759436507937,0.206957980952381,0.2069630841269842,0.2047471325396826,0.1962466341269841,0.3732510515873019,0.5873235198412703,0.6828633753968258,0.645660528571429,0.4802386285714289,0.2536858896825398,0.2065888468253969,0.2214455039682541,0.2165036730158731
